agent,difficulty,seed,outcome,score,decisions,elapsed_seconds,pellets_left,ghosts_eaten,repeat_visits,immediate_backtracks,performance
utility_based,normal,12,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,12,win,1490,147,19.845,0,3,74,7,3446.6
greedy,normal,12,win,890,91,12.285,0,0,18,8,2855.8
random,normal,12,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,13,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,13,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,13,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,13,win,1490,107,14.445,0,3,34,9,3450.6
utility_based,normal,13,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,13,caught,1130,90,12.15,16,2,33,6,100.0
greedy,normal,13,win,890,91,12.285,0,0,18,8,2855.8
random,normal,13,caught,140,25,3.375,59,0,11,7,-879.0
table_driven,normal,14,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,14,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,14,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,14,win,1490,107,14.445,0,3,34,9,3450.6
utility_based,normal,14,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,14,win,1290,113,15.255,0,2,40,7,3253.4
greedy,normal,14,win,890,91,12.285,0,0,18,8,2855.8
random,normal,14,caught,130,23,3.105,60,0,10,7,-888.6
table_driven,normal,15,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,15,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,15,win,890,159,21.465,0,0,83,2,2854.2
goal_based,normal,15,win,1490,105,14.175,0,3,32,8,3453.0
utility_based,normal,15,caught,850,90,12.15,20,1,37,2,-172.0
learning,normal,15,win,1690,141,19.035,0,4,65,17,3627.8
greedy,normal,15,caught,120,12,1.62,61,0,0,0,-882.4
random,normal,15,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,16,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,16,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,16,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,16,win,1490,107,14.445,0,3,34,9,3450.6
utility_based,normal,16,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,16,win,1490,155,20.925,0,3,82,8,3443.0
greedy,normal,16,win,890,91,12.285,0,0,18,8,2855.8
random,normal,16,caught,140,27,3.645,59,0,13,9,-883.4
table_driven,normal,17,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,17,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,17,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,17,timeout,1280,1500,202.5,1,2,1428,1386,-1792.0
utility_based,normal,17,caught,1360,98,13.23,13,3,35,2,336.4
learning,normal,17,caught,520,48,6.48,45,1,17,4,-497.6
greedy,normal,17,caught,500,50,6.75,31,0,8,4,-518.0
random,normal,17,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,18,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,18,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,18,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,18,win,1490,125,16.875,0,3,52,9,3447.0
utility_based,normal,18,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,18,win,1290,139,18.765,0,2,66,6,3250.2
greedy,normal,18,win,890,91,12.285,0,0,18,8,2855.8
random,normal,18,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,19,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,19,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,19,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,19,win,1490,107,14.445,0,3,34,9,3450.6
utility_based,normal,19,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,19,caught,1130,90,12.15,16,2,33,6,100.0
greedy,normal,19,win,890,91,12.285,0,0,18,8,2855.8
random,normal,19,caught,130,17,2.295,60,0,4,4,-881.4
table_driven,normal,20,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,20,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,20,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,20,win,1490,107,14.445,0,3,34,9,3450.6
utility_based,normal,20,win,1490,113,15.255,0,3,37,1,3465.4
learning,normal,20,win,1290,115,15.525,0,2,42,5,3257.0
greedy,normal,20,win,890,91,12.285,0,0,18,8,2855.8
random,normal,20,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,21,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,21,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,21,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,21,win,1490,107,14.445,0,3,34,9,3450.6
utility_based,normal,21,win,1490,111,14.985,0,3,35,1,3465.8
learning,normal,21,win,1490,125,16.875,0,3,52,6,3453.0
greedy,normal,21,win,890,91,12.285,0,0,18,8,2855.8
random,normal,21,caught,230,85,11.475,54,0,66,32,-851.0
table_driven,normal,22,caught,70,14,1.89,66,0,7,1,-934.8
simple_reflex,normal,22,timeout,660,1500,202.5,23,0,1450,289,-218.0
model_based,normal,22,win,890,161,21.735,0,0,85,2,2853.8
goal_based,normal,22,caught,1280,132,17.82,1,2,60,21,211.6
